t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.53, 0.09, 0.83, -0.49, -2.62, 1.83
0.0033, -0.53, 0.07, 0.83, -0.91, -1.95, 1.83
0.0067, -0.52, 0.08, 0.85, -0.79, -0.98, 2.01
0.0100, -0.54, 0.08, 0.87, -0.73, -0.24, 1.89
0.0133, -0.55, 0.08, 0.85, -1.04, 0.30, 1.52
0.0167, -0.56, 0.08, 0.85, -0.98, 0.30, 1.16
0.0200, -0.55, 0.06, 0.87, -1.10, -0.12, 0.73
0.0233, -0.51, 0.15, 0.80, -0.79, -0.37, 1.04
0.0267, -0.54, 0.08, 0.82, -0.61, -0.73, 0.67
0.0300, -0.61, 0.01, 0.85, -0.73, -0.91, 0.43
0.0333, -0.54, 0.11, 0.79, -1.89, -0.24, -0.12
0.0367, -0.52, 0.10, 0.78, -2.44, -0.18, -0.61
0.0400, -0.57, 0.12, 0.89, -2.93, -0.37, -1.52
0.0433, -0.55, 0.09, 0.84, -2.93, 0.30, -1.28
0.0467, -0.58, 0.12, 0.85, -3.05, 0.98, -1.28
0.0500, -0.56, 0.08, 0.83, -3.11, 1.83, -0.61
0.0533, -0.55, 0.05, 0.88, -3.17, 2.44, 0.06
0.0567, -0.58, 0.04, 0.85, -2.87, 2.50, 0.61
0.0600, -0.74, -0.02, 0.96, -1.40, 2.44, 1.46
0.0633, -0.61, -0.02, 0.86, 0.67, 3.66, 3.84
0.0667, -0.66, 0.05, 0.95, 2.80, 5.67, 7.56
0.0700, -0.57, 0.08, 0.90, 5.43, 8.54, 11.22
0.0733, -0.48, -0.01, 0.96, 6.59, 10.00, 13.41
0.0767, -0.42, 0.06, 0.92, 6.59, 8.41, 11.16
0.0800, -0.48, 0.11, 0.77, 4.63, 5.67, 5.12
0.0833, -0.51, 0.19, 0.79, 0.67, 1.46, -2.93
0.0867, -0.51, 0.26, 0.82, -3.84, -1.77, -9.94
0.0900, -0.50, 0.14, 0.82, -8.05, -4.51, -12.80
0.0933, -0.54, 0.09, 0.90, -9.76, -4.94, -11.89
0.0967, -0.61, 0.05, 0.94, -8.84, -3.78, -9.15
0.1000, -0.70, 0.05, 0.97, -6.04, -2.80, -5.43
0.1033, -0.69, 0.06, 0.94, -3.66, -3.60, -1.52
0.1067, -0.61, 0.04, 0.93, -1.89, -5.85, 1.46
0.1100, -0.54, 0.05, 0.88, -0.30, -7.44, 2.74
0.1133, -0.52, 0.08, 0.86, 0.73, -7.50, 2.26
0.1167, -0.50, 0.10, 0.86, 1.34, -6.77, 0.91
0.1200, -0.49, 0.09, 0.87, 2.01, -6.16, -0.30
0.1233, -0.48, 0.09, 0.87, 2.44, -5.00, -1.40
0.1267, -0.50, 0.09, 0.90, 3.05, -4.21, -1.95
0.1300, -0.56, 0.10, 0.90, 3.60, -3.54, -2.20
0.1333, -0.57, 0.11, 0.93, 4.45, -3.66, -2.01
0.1367, -0.55, 0.05, 0.91, 5.61, -3.35, -0.91
0.1400, -0.61, 0.10, 0.88, 7.01, -3.29, 0.06
0.1433, -0.48, 0.09, 0.83, 8.11, -3.60, 0.98
0.1467, -0.49, -0.01, 0.92, 8.72, -3.84, 2.32
0.1500, -0.56, 0.15, 0.92, 8.54, -4.94, 2.38
0.1533, -0.52, 0.16, 0.78, 7.87, -6.22, 0.61
0.1567, -0.28, -0.04, 0.83, 6.89, -7.32, -0.37
0.1600, -0.52, 0.17, 0.84, 6.04, -8.11, -2.80
0.1633, -0.44, 0.07, 0.83, 6.89, -7.38, -6.28
0.1667, -0.59, 0.08, 0.86, 8.05, -6.34, -7.13
0.1700, -0.54, 0.10, 0.85, 8.72, -4.57, -6.65
0.1733, -0.59, 0.11, 0.87, 8.60, -3.23, -4.57
0.1767, -0.56, 0.10, 0.91, 8.66, -1.89, -1.10
0.1800, -0.54, 0.08, 0.91, 8.66, -0.49, 1.89
0.1833, -0.50, 0.06, 0.90, 9.51, 0.18, 4.09
0.1867, -0.50, 0.07, 0.86, 10.73, 0.67, 4.88
0.1900, -0.47, 0.08, 0.86, 11.71, 1.34, 4.45
0.1933, -0.47, 0.10, 0.85, 12.26, 2.38, 3.84
0.1967, -0.49, 0.11, 0.86, 12.38, 3.78, 2.93
0.2000, -0.52, 0.12, 0.83, 12.13, 5.30, 2.38
0.2033, -0.53, 0.13, 0.84, 11.52, 6.65, 2.20
0.2067, -0.54, 0.13, 0.84, 10.61, 7.38, 2.50
0.2100, -0.56, 0.13, 0.84, 9.51, 7.68, 2.87
0.2133, -0.58, 0.13, 0.84, 8.41, 7.50, 3.11
0.2167, -0.59, 0.11, 0.83, 7.07, 6.71, 3.23
0.2200, -0.59, 0.11, 0.82, 5.91, 5.67, 3.35
0.2233, -0.58, 0.11, 0.82, 4.94, 4.39, 3.41
0.2267, -0.58, 0.10, 0.83, 3.84, 3.29, 3.17
0.2300, -0.58, 0.10, 0.83, 2.93, 2.07, 2.99
0.2333, -0.58, 0.10, 0.84, 2.13, 0.79, 2.74
0.2367, -0.57, 0.10, 0.84, 1.65, -0.43, 2.74
0.2400, -0.59, 0.10, 0.84, 1.28, -1.71, 2.74
0.2433, -0.59, 0.09, 0.84, 0.98, -2.99, 2.62
0.2467, -0.57, 0.09, 0.85, 0.37, -4.33, 2.44
0.2500, -0.57, 0.09, 0.83, -0.12, -5.37, 1.89
0.2533, -0.56, 0.08, 0.85, -0.43, -6.28, 1.65
0.2567, -0.54, 0.08, 0.86, -0.37, -6.77, 1.22
0.2600, -0.54, 0.07, 0.87, -0.06, -7.13, 0.67
0.2633, -0.55, 0.09, 0.88, 0.43, -7.44, 0.18
0.2667, -0.54, 0.09, 0.88, 0.79, -7.62, -0.55
0.2700, -0.53, 0.08, 0.89, 0.98, -8.11, -1.04
0.2733, -0.53, 0.07, 0.89, 1.28, -8.54, -1.52
0.2767, -0.53, 0.09, 0.87, 2.13, -8.78, -2.50
0.2800, -0.54, 0.08, 0.87, 2.62, -8.90, -3.29
0.2833, -0.54, 0.07, 0.89, 2.99, -8.84, -3.23
0.2867, -0.55, 0.09, 0.86, 3.72, -9.09, -3.48
0.2900, -0.55, 0.11, 0.85, 4.27, -9.57, -4.27
0.2933, -0.54, 0.09, 0.87, 4.27, -10.06, -4.70
0.2967, -0.53, 0.09, 0.86, 3.96, -10.55, -4.76
0.3000, -0.50, 0.09, 0.84, 3.66, -10.85, -4.70
0.3033, -0.54, 0.09, 0.84, 3.78, -10.85, -4.51
0.3067, -0.54, 0.11, 0.85, 4.09, -10.49, -4.27
0.3100, -0.53, 0.10, 0.84, 3.96, -10.00, -3.54
0.3133, -0.53, 0.10, 0.87, 3.96, -9.39, -2.38
0.3167, -0.53, 0.10, 0.86, 4.02, -8.48, -1.59
