t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.17, 0.03, 0.99, 1.77, -0.12, 0.30
0.0033, -0.17, 0.04, 0.99, 1.65, -0.24, 0.37
0.0067, -0.18, 0.03, 0.99, 1.59, -0.12, 0.30
0.0100, -0.17, 0.03, 0.99, 1.52, -0.06, 0.43
0.0133, -0.16, 0.03, 1.01, 1.83, 0.00, 0.49
0.0167, -0.18, 0.03, 1.00, 1.77, 0.00, 0.43
0.0200, -0.18, 0.03, 1.01, 1.83, -0.06, 0.55
0.0233, -0.18, 0.03, 1.01, 1.83, 0.06, 0.55
0.0267, -0.18, 0.03, 1.00, 1.89, 0.06, 0.49
0.0300, -0.17, 0.04, 0.99, 1.83, 0.06, 0.49
0.0333, -0.17, 0.04, 0.98, 1.77, 0.06, 0.49
0.0367, -0.18, 0.04, 1.00, 1.83, 0.00, 0.49
0.0400, -0.18, 0.04, 1.02, 1.77, -0.24, 0.55
0.0433, -0.17, 0.03, 1.02, 1.65, -0.30, 0.43
0.0467, -0.18, 0.03, 1.01, 1.77, -0.24, 0.43
0.0500, -0.19, 0.04, 1.00, 1.65, -0.24, 0.37
0.0533, -0.18, 0.03, 0.99, 1.65, -0.18, 0.43
0.0567, -0.18, 0.04, 1.01, 1.83, -0.24, 0.55
0.0600, -0.18, 0.03, 1.00, 1.59, -0.18, 0.37
0.0633, -0.17, 0.04, 1.02, 1.65, -0.18, 0.43
0.0667, -0.17, 0.03, 1.01, 1.65, -0.18, 0.37
0.0700, -0.17, 0.04, 1.00, 1.65, -0.12, 0.49
0.0733, -0.18, 0.05, 1.00, 1.71, -0.18, 0.43
0.0767, -0.17, 0.04, 1.00, 1.77, -0.24, 0.43
0.0800, -0.17, 0.03, 1.00, 1.59, -0.18, 0.30
0.0833, -0.18, 0.04, 1.00, 1.59, -0.30, 0.24
0.0867, -0.18, 0.04, 1.01, 1.59, -0.30, 0.43
0.0900, -0.19, 0.04, 1.00, 1.52, -0.43, 0.43
0.0933, -0.18, 0.03, 1.00, 1.65, -0.37, 0.43
0.0967, -0.18, 0.04, 1.00, 1.52, -0.55, 0.43
0.1000, -0.17, 0.04, 1.00, 1.52, -0.67, 0.37
0.1033, -0.18, 0.03, 1.01, 1.59, -0.67, 0.37
0.1067, -0.17, 0.04, 1.00, 1.52, -0.79, 0.30
0.1100, -0.18, 0.03, 1.00, 1.52, -0.73, 0.24
0.1133, -0.17, 0.03, 1.00, 1.22, -0.91, 0.24
0.1167, -0.18, 0.02, 1.01, 1.46, -0.91, 0.24
0.1200, -0.18, 0.02, 1.01, 1.65, -1.04, 0.30
0.1233, -0.17, 0.03, 0.99, 1.59, -0.79, 0.24
0.1267, -0.17, 0.03, 0.99, 1.71, -0.73, 0.18
0.1300, -0.17, 0.03, 1.01, 1.65, -0.55, 0.30
0.1333, -0.17, 0.03, 1.00, 1.77, -0.43, 0.30
0.1367, -0.17, 0.03, 1.02, 2.01, -0.37, 0.24
0.1400, -0.18, 0.02, 1.00, 1.83, -0.18, 0.37
0.1433, -0.17, 0.03, 1.00, 1.77, -0.12, 0.37
0.1467, -0.17, 0.03, 1.00, 1.83, -0.18, 0.43
0.1500, -0.19, 0.04, 1.00, 1.77, -0.18, 0.30
0.1533, -0.17, 0.04, 1.01, 1.83, -0.30, 0.43
0.1567, -0.18, 0.03, 0.99, 1.71, -0.30, 0.43
0.1600, -0.17, 0.04, 0.99, 1.77, -0.37, 0.43
0.1633, -0.18, 0.02, 1.00, 1.71, -0.43, 0.43
0.1667, -0.17, 0.03, 0.99, 1.65, -0.49, 0.43
0.1700, -0.18, 0.04, 1.00, 1.65, -0.67, 0.43
0.1733, -0.18, 0.04, 1.00, 1.40, -0.61, 0.37
0.1767, -0.17, 0.03, 1.00, 1.40, -0.61, 0.24
0.1800, -0.18, 0.03, 0.99, 1.28, -0.73, 0.24
0.1833, -0.18, 0.04, 1.00, 1.40, -0.79, 0.18
0.1867, -0.17, 0.04, 1.00, 1.40, -0.73, 0.18
0.1900, -0.18, 0.03, 0.99, 1.52, -0.79, 0.18
0.1933, -0.17, 0.03, 1.00, 1.46, -0.85, 0.24
0.1967, -0.18, 0.03, 1.01, 1.52, -0.79, 0.30
0.2000, -0.18, 0.02, 1.01, 1.34, -0.85, 0.24
0.2033, -0.17, 0.04, 1.01, 1.52, -0.79, 0.06
0.2067, -0.17, 0.03, 0.99, 1.46, -0.79, 0.18
0.2100, -0.18, 0.04, 1.01, 1.52, -0.73, 0.30
0.2133, -0.17, 0.03, 1.00, 1.71, -0.61, 0.30
0.2167, -0.18, 0.03, 1.01, 1.71, -0.61, 0.37
0.2200, -0.17, 0.03, 1.00, 1.59, -0.55, 0.30
0.2233, -0.17, 0.04, 1.00, 1.65, -0.43, 0.43
0.2267, -0.17, 0.04, 1.01, 1.65, -0.49, 0.37
0.2300, -0.17, 0.03, 1.00, 1.65, -0.49, 0.37
0.2333, -0.17, 0.04, 1.00, 1.83, -0.49, 0.30
0.2367, -0.18, 0.03, 1.01, 1.83, -0.37, 0.37
0.2400, -0.17, 0.02, 1.00, 1.89, -0.37, 0.37
0.2433, -0.18, 0.04, 0.99, 1.77, -0.18, 0.30
0.2467, -0.18, 0.03, 1.00, 1.95, -0.12, 0.37
0.2500, -0.17, 0.03, 1.00, 1.89, -0.30, 0.43
0.2533, -0.19, 0.03, 1.00, 1.83, -0.24, 0.30
0.2567, -0.18, 0.04, 1.00, 1.71, -0.18, 0.43
0.2600, -0.18, 0.03, 1.01, 1.59, -0.30, 0.49
0.2633, -0.18, 0.03, 1.00, 1.59, -0.24, 0.30
0.2667, -0.18, 0.03, 1.00, 1.59, -0.37, 0.24
0.2700, -0.17, 0.04, 1.00, 1.71, -0.37, 0.24
0.2733, -0.17, 0.03, 1.02, 1.65, -0.49, 0.30
0.2767, -0.17, 0.03, 1.00, 1.59, -0.55, 0.43
0.2800, -0.17, 0.03, 1.00, 1.59, -0.49, 0.30
0.2833, -0.17, 0.04, 1.00, 1.71, -0.49, 0.37
0.2867, -0.17, 0.02, 1.01, 1.65, -0.49, 0.37
0.2900, -0.18, 0.03, 1.00, 1.52, -0.43, 0.30
0.2933, -0.17, 0.03, 1.02, 1.59, -0.43, 0.43
0.2967, -0.17, 0.03, 1.02, 1.65, -0.43, 0.43
0.3000, -0.17, 0.04, 1.00, 1.46, -0.24, 0.43
0.3033, -0.18, 0.04, 1.01, 1.65, -0.18, 0.43
0.3067, -0.18, 0.03, 1.01, 1.77, -0.18, 0.49
0.3100, -0.17, 0.04, 0.98, 1.83, -0.06, 0.55
0.3133, -0.18, 0.03, 1.02, 1.71, 0.18, 0.49
0.3167, -0.18, 0.04, 1.00, 1.77, 0.12, 0.55
0.3200, -0.17, 0.03, 0.99, 1.95, 0.06, 0.55
0.3233, -0.17, 0.04, 0.98, 1.89, 0.18, 0.49
0.3267, -0.19, 0.03, 1.00, 1.89, 0.37, 0.43
0.3300, -0.18, 0.03, 1.00, 1.89, 0.24, 0.37
0.3333, -0.18, 0.04, 0.99, 1.89, 0.24, 0.43
0.3367, -0.18, 0.04, 1.00, 1.83, 0.12, 0.49
0.3400, -0.18, 0.03, 1.00, 1.89, 0.06, 0.43
0.3433, -0.17, 0.03, 1.00, 1.77, 0.06, 0.43
