t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.24, -0.19, 0.96, 2.44, 2.32, -0.91
0.0033, -0.25, -0.19, 0.95, 2.99, 2.80, -0.85
0.0067, -0.25, -0.19, 0.96, 3.41, 3.23, -0.79
0.0100, -0.26, -0.20, 0.97, 3.90, 3.35, -0.85
0.0133, -0.26, -0.20, 0.97, 4.27, 3.41, -0.98
0.0167, -0.26, -0.19, 0.97, 4.76, 3.54, -0.98
0.0200, -0.25, -0.19, 0.99, 5.18, 3.78, -1.16
0.0233, -0.26, -0.19, 0.97, 5.61, 4.02, -1.34
0.0267, -0.26, -0.20, 0.98, 5.67, 4.15, -1.65
0.0300, -0.27, -0.18, 0.96, 5.61, 4.21, -1.83
0.0333, -0.27, -0.20, 0.98, 5.61, 4.15, -2.20
0.0367, -0.28, -0.19, 0.99, 5.37, 3.78, -2.62
0.0400, -0.27, -0.19, 0.98, 5.24, 3.72, -3.05
0.0433, -0.26, -0.19, 0.97, 5.06, 3.35, -3.48
0.0467, -0.27, -0.18, 0.98, 4.63, 3.17, -3.96
0.0500, -0.27, -0.18, 0.99, 4.15, 3.05, -4.45
0.0533, -0.27, -0.19, 0.97, 3.54, 2.87, -5.00
0.0567, -0.27, -0.17, 0.98, 2.99, 2.68, -5.49
0.0600, -0.27, -0.17, 0.98, 2.62, 2.38, -5.79
0.0633, -0.28, -0.16, 0.96, 2.32, 2.07, -6.10
0.0667, -0.27, -0.17, 0.98, 1.77, 1.65, -6.40
0.0700, -0.27, -0.15, 0.97, 1.46, 1.16, -6.52
0.0733, -0.27, -0.16, 0.96, 0.98, 0.85, -6.59
0.0767, -0.27, -0.15, 0.97, 0.55, 0.43, -6.65
0.0800, -0.27, -0.16, 0.97, 0.12, 0.18, -6.59
0.0833, -0.27, -0.15, 0.97, 0.00, -0.18, -6.34
0.0867, -0.27, -0.15, 0.96, -0.43, -0.24, -6.10
0.0900, -0.28, -0.15, 0.97, -0.55, -0.30, -5.67
0.0933, -0.27, -0.15, 0.95, -0.67, -0.37, -5.18
0.0967, -0.27, -0.15, 0.95, -0.73, -0.43, -4.70
0.1000, -0.27, -0.14, 0.94, -0.85, -0.55, -4.21
0.1033, -0.27, -0.15, 0.95, -0.85, -0.55, -3.66
0.1067, -0.27, -0.16, 0.94, -0.91, -0.61, -3.17
0.1100, -0.27, -0.14, 0.96, -0.55, -0.55, -2.50
