t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.99, 0.07, 0.07, 1.22, -2.68, -0.12
0.0033, -1.00, 0.08, 0.08, 1.10, -2.80, -0.12
0.0067, -1.00, 0.08, 0.08, 1.40, -2.93, -0.12
0.0100, -1.00, 0.08, 0.08, 1.28, -3.11, 0.06
0.0133, -0.99, 0.07, 0.07, 1.40, -3.11, -0.18
0.0167, -1.00, 0.08, 0.07, 1.40, -3.05, -0.18
0.0200, -1.00, 0.09, 0.07, 1.34, -3.11, -0.24
0.0233, -1.01, 0.08, 0.08, 1.40, -3.17, -0.43
0.0267, -1.00, 0.09, 0.08, 1.40, -3.29, -0.43
0.0300, -1.00, 0.08, 0.08, 1.40, -3.23, -0.43
0.0333, -1.01, 0.09, 0.08, 1.28, -3.23, -0.43
0.0367, -1.00, 0.08, 0.07, 1.16, -3.23, -0.55
0.0400, -0.99, 0.07, 0.09, 1.16, -3.29, -0.73
0.0433, -1.00, 0.07, 0.09, 1.16, -3.41, -0.85
0.0467, -1.00, 0.07, 0.08, 1.34, -3.35, -0.85
0.0500, -0.99, 0.07, 0.09, 1.34, -3.29, -0.91
0.0533, -1.00, 0.08, 0.08, 1.40, -3.17, -0.98
0.0567, -0.99, 0.07, 0.08, 1.46, -3.11, -0.91
0.0600, -0.99, 0.08, 0.09, 1.40, -3.05, -0.91
0.0633, -1.00, 0.07, 0.10, 1.40, -3.11, -0.79
0.0667, -1.00, 0.07, 0.09, 1.40, -2.93, -0.79
0.0700, -1.00, 0.07, 0.08, 1.40, -2.80, -0.85
0.0733, -1.01, 0.06, 0.09, 1.28, -2.62, -0.61
0.0767, -1.01, 0.06, 0.08, 0.85, -2.56, -0.49
0.0800, -1.01, 0.07, 0.10, 0.85, -2.62, -0.49
0.0833, -1.00, 0.08, 0.10, 1.16, -2.32, -0.49
0.0867, -0.99, 0.05, 0.08, 1.52, -2.50, -0.37
0.0900, -0.99, 0.07, 0.08, 1.95, -2.26, -0.43
0.0933, -1.00, 0.07, 0.10, 2.26, -1.83, -0.24
0.0967, -0.99, 0.08, 0.09, 2.26, -1.59, -0.18
0.1000, -0.99, 0.09, 0.07, 2.13, -1.65, -0.24
0.1033, -0.99, 0.08, 0.10, 1.65, -1.52, 0.00
0.1067, -1.00, 0.07, 0.09, 1.22, -1.10, 0.18
0.1100, -1.00, 0.07, 0.10, 1.10, -0.67, 0.12
0.1133, -0.99, 0.07, 0.09, 1.04, -0.61, 0.12
0.1167, -0.98, 0.07, 0.10, 1.46, -0.24, 0.12
0.1200, -0.98, 0.07, 0.10, 1.89, 0.18, 0.06
0.1233, -0.99, 0.09, 0.09, 1.95, 0.37, 0.06
0.1267, -0.99, 0.09, 0.09, 2.13, 0.49, 0.12
0.1300, -1.01, 0.07, 0.08, 1.95, 0.79, 0.06
0.1333, -1.01, 0.07, 0.09, 1.71, 1.04, -0.06
0.1367, -1.01, 0.08, 0.09, 1.71, 1.22, -0.06
0.1400, -0.99, 0.08, 0.08, 1.65, 1.46, 0.00
0.1433, -0.99, 0.09, 0.08, 1.77, 1.59, -0.12
0.1467, -1.00, 0.07, 0.08, 1.83, 1.89, 0.00
0.1500, -1.00, 0.07, 0.09, 1.95, 2.01, 0.00
0.1533, -1.01, 0.07, 0.09, 1.89, 2.01, 0.00
0.1567, -1.00, 0.07, 0.09, 1.83, 2.01, 0.00
0.1600, -1.00, 0.08, 0.08, 2.01, 2.07, -0.06
0.1633, -1.01, 0.07, 0.08, 2.20, 2.26, -0.06
0.1667, -1.01, 0.07, 0.09, 2.20, 2.38, 0.06
0.1700, -0.99, 0.08, 0.08, 2.07, 2.20, 0.18
0.1733, -0.99, 0.07, 0.08, 1.89, 2.20, 0.18
0.1767, -1.00, 0.07, 0.08, 2.01, 2.07, 0.24
0.1800, -1.01, 0.07, 0.08, 1.95, 2.01, 0.30
0.1833, -1.00, 0.08, 0.09, 1.83, 2.01, 0.37
0.1867, -1.00, 0.07, 0.09, 1.95, 1.89, 0.43
0.1900, -1.00, 0.07, 0.08, 2.13, 1.83, 0.37
0.1933, -1.00, 0.07, 0.08, 2.07, 1.83, 0.30
0.1967, -1.01, 0.07, 0.08, 2.07, 1.77, 0.24
0.2000, -1.00, 0.08, 0.08, 1.52, -1.04, -0.18
0.2033, -1.01, 0.07, 0.08, 1.52, -1.10, -0.18
0.2067, -1.00, 0.07, 0.09, 1.40, -1.22, -0.18
0.2100, -1.00, 0.07, 0.06, 1.59, -1.28, -0.12
0.2133, -1.00, 0.08, 0.06, 1.65, -1.34, -0.24
0.2167, -1.00, 0.08, 0.07, 1.83, -1.34, -0.30
0.2200, -1.00, 0.08, 0.08, 1.71, -1.40, -0.24
0.2233, -1.00, 0.07, 0.08, 1.52, -1.46, -0.24
0.2267, -1.00, 0.07, 0.08, 1.59, -1.40, -0.24
0.2300, -1.00, 0.08, 0.08, 1.28, -1.52, -0.24
0.2333, -0.99, 0.07, 0.08, 1.22, -1.46, -0.24
0.2367, -1.00, 0.07, 0.07, 1.46, -1.28, -0.30
0.2400, -1.00, 0.07, 0.09, 1.59, -1.28, -0.30
0.2433, -1.00, 0.07, 0.08, 1.52, -1.16, -0.37
0.2467, -1.00, 0.08, 0.08, 1.46, -1.22, -0.30
0.2500, -1.00, 0.07, 0.07, 1.52, -1.10, -0.18
