t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.87, -0.08, 0.49, 2.62, 0.91, 1.71
0.0033, -0.86, -0.08, 0.49, 2.44, 1.28, 2.01
0.0067, -0.87, -0.15, 0.50, 2.38, 1.16, 1.89
0.0100, -0.86, -0.07, 0.52, 2.68, 1.40, 1.83
0.0133, -0.88, -0.08, 0.51, 2.93, 1.34, 1.77
0.0167, -0.89, -0.12, 0.49, 2.62, 1.16, 1.89
0.0200, -0.86, -0.09, 0.51, 2.26, 0.79, 1.89
0.0233, -0.86, -0.11, 0.52, 2.26, 0.30, 1.83
0.0267, -0.86, -0.10, 0.52, 2.13, -0.24, 1.65
0.0300, -0.86, -0.12, 0.49, 2.26, -0.12, 1.77
0.0333, -0.88, -0.11, 0.51, 2.13, -0.30, 2.07
0.0367, -0.88, -0.07, 0.52, 1.89, -0.43, 2.13
0.0400, -0.85, -0.10, 0.50, 2.01, -0.73, 2.07
0.0433, -0.86, -0.08, 0.53, 1.71, -1.10, 2.07
0.0467, -0.85, -0.08, 0.52, 1.65, -0.85, 2.20
0.0500, -0.85, -0.09, 0.52, 1.89, -0.67, 2.07
0.0533, -0.84, -0.07, 0.53, 1.89, -0.61, 1.89
0.0567, -0.86, -0.09, 0.52, 1.95, -0.43, 1.77
0.0600, -0.85, -0.08, 0.52, 2.01, 0.00, 1.77
0.0633, -0.86, -0.08, 0.54, 2.13, 0.49, 1.71
0.0667, -0.86, -0.07, 0.52, 2.38, 0.85, 1.71
0.0700, -0.85, -0.07, 0.51, 2.38, 1.22, 1.59
0.0733, -0.85, -0.07, 0.52, 2.32, 1.46, 1.59
0.0767, -0.85, -0.07, 0.52, 2.20, 1.83, 1.52
0.0800, -0.85, -0.08, 0.51, 2.13, 2.07, 1.34
0.0833, -0.85, -0.06, 0.50, 1.95, 2.07, 1.22
0.0867, -0.86, -0.08, 0.52, 2.01, 2.38, 1.16
0.0900, -0.85, -0.07, 0.52, 1.95, 2.20, 1.10
0.0933, -0.85, -0.08, 0.53, 1.77, 2.07, 0.98
0.0967, -0.85, -0.08, 0.50, 1.71, 1.89, 0.85
0.1000, -0.85, -0.08, 0.51, 1.95, 1.77, 0.79
0.1033, -0.87, -0.08, 0.50, 2.07, 1.59, 0.67
0.1067, -0.87, -0.07, 0.52, 2.32, 1.40, 0.43
0.1100, -0.85, -0.08, 0.52, 2.26, 1.10, 0.24
0.1133, -0.87, -0.07, 0.52, 2.07, 0.91, -0.06
0.1167, -0.88, -0.12, 0.51, 2.13, 0.73, -0.18
0.1200, -0.87, -0.12, 0.50, 1.95, 0.73, -0.18
0.1233, -0.89, -0.12, 0.52, 2.01, 0.49, -0.24
0.1267, -0.90, -0.13, 0.51, 1.77, 0.18, -0.12
0.1300, -0.90, -0.12, 0.49, 1.83, -0.06, 0.24
0.1333, -0.92, -0.12, 0.52, 1.95, -0.43, 0.43
0.1367, -0.92, -0.11, 0.51, 2.01, -0.98, 0.61
0.1400, -0.91, -0.13, 0.50, 1.95, -1.59, 0.98
0.1433, -0.92, -0.12, 0.50, 1.89, -2.32, 1.46
0.1467, -0.92, -0.11, 0.53, 1.77, -2.87, 1.95
0.1500, -0.89, -0.12, 0.51, 1.77, -3.48, 2.38
0.1533, -0.90, -0.11, 0.51, 1.65, -3.84, 2.80
0.1567, -0.89, -0.12, 0.52, 1.65, -4.02, 3.23
0.1600, -0.88, -0.09, 0.52, 1.46, -3.96, 3.54
0.1633, -0.89, -0.09, 0.51, 1.46, -3.66, 3.72
0.1667, -0.89, -0.09, 0.53, 1.22, -2.99, 3.90
0.1700, -0.89, -0.08, 0.54, 0.73, -2.32, 4.21
0.1733, -0.87, -0.08, 0.52, 0.24, -1.52, 4.39
0.1767, -0.88, -0.08, 0.52, 0.00, -0.55, 4.70
0.1800, -0.86, -0.09, 0.53, -0.49, 0.30, 4.82
0.1833, -0.86, -0.09, 0.51, -0.61, 1.10, 4.70
0.1867, -0.87, -0.09, 0.50, -1.04, 1.95, 4.45
0.1900, -0.87, -0.09, 0.54, -1.65, 2.44, 4.45
0.1933, -0.85, -0.10, 0.49, -1.71, 2.87, 4.15
