t, aX, aY, aZ, gX, gY, gZ
0.0000, -0.78, 0.06, 0.65, 1.59, 0.00, -1.40
0.0033, -0.78, 0.06, 0.64, 1.59, 0.12, -1.10
0.0067, -0.78, 0.06, 0.66, 1.52, 0.43, -0.98
0.0100, -0.79, 0.06, 0.66, 1.46, 0.73, -1.10
0.0133, -0.78, 0.06, 0.66, 1.34, 0.98, -1.10
0.0167, -0.78, 0.06, 0.65, 1.34, 1.04, -1.22
0.0200, -0.79, 0.07, 0.66, 1.46, 1.16, -1.40
0.0233, -0.78, 0.07, 0.64, 1.52, 1.28, -1.28
0.0267, -0.79, 0.06, 0.65, 1.46, 1.22, -1.04
0.0300, -0.78, 0.06, 0.65, 1.71, 1.10, -0.85
0.0333, -0.78, 0.06, 0.65, 1.65, 1.04, -0.73
0.0367, -0.78, 0.06, 0.65, 1.83, 0.85, -0.49
0.0400, -0.78, 0.06, 0.63, 2.07, 0.61, -0.37
0.0433, -0.78, 0.06, 0.64, 2.26, 0.30, -0.18
0.0467, -0.78, 0.07, 0.64, 2.44, 0.06, -0.06
0.0500, -0.79, 0.07, 0.63, 2.62, -0.12, 0.00
0.0533, -0.78, 0.09, 0.63, 2.68, -0.43, 0.00
0.0567, -0.77, 0.09, 0.63, 2.56, -0.49, 0.12
0.0600, -0.78, 0.08, 0.63, 2.38, -0.49, 0.30
0.0633, -0.78, 0.08, 0.62, 2.26, -0.43, 0.43
0.0667, -0.77, 0.08, 0.61, 1.95, -0.43, 0.55
0.0700, -0.78, 0.06, 0.63, 1.77, -0.43, 0.55
0.0733, -0.78, 0.06, 0.64, 1.46, -0.37, 0.37
0.0767, -0.79, 0.07, 0.63, 1.40, -0.55, 0.30
0.0800, -0.79, 0.07, 0.64, 1.52, -0.67, 0.18
0.0833, -0.79, 0.06, 0.64, 1.71, -0.98, 0.18
0.0867, -0.79, 0.06, 0.64, 1.77, -1.10, 0.18
0.0900, -0.80, 0.07, 0.65, 2.07, -1.34, 0.24
0.0933, -0.79, 0.07, 0.64, 2.32, -1.28, 0.24
0.0967, -0.79, 0.07, 0.65, 2.38, -1.22, 0.37
0.1000, -0.78, 0.08, 0.65, 1.59, -1.04, -0.06
0.1033, -0.77, 0.08, 0.63, 1.77, -1.22, 0.00
0.1067, -0.78, 0.07, 0.64, 2.01, -1.40, -0.12
0.1100, -0.78, 0.07, 0.65, 2.13, -1.46, -0.18
0.1133, -0.77, 0.07, 0.64, 2.13, -1.52, -0.06
0.1167, -0.78, 0.07, 0.65, 2.20, -1.65, 0.00
0.1200, -0.78, 0.07, 0.64, 2.26, -1.77, 0.00
0.1233, -0.79, 0.07, 0.64, 2.68, -1.95, 0.18
0.1267, -0.78, 0.07, 0.65, 2.87, -2.01, 0.24
0.1300, -0.78, 0.07, 0.65, 3.05, -1.89, 0.43
0.1333, -0.78, 0.07, 0.65, 3.17, -1.83, 0.43
0.1367, -0.78, 0.07, 0.64, 3.35, -1.83, 0.43
0.1400, -0.77, 0.07, 0.65, 3.60, -1.89, 0.43
0.1433, -0.79, 0.08, 0.63, 3.66, -1.95, 0.37
0.1467, -0.79, 0.07, 0.61, 3.78, -1.71, 0.30
0.1500, -0.78, 0.07, 0.63, 3.54, -1.40, 0.37
0.1533, -0.78, 0.07, 0.63, 3.11, -1.04, 0.43
0.1567, -0.79, 0.07, 0.63, 2.87, -0.67, 0.43
0.1600, -0.79, 0.08, 0.64, 2.50, -0.30, 0.49
0.1633, -0.79, 0.07, 0.62, 1.95, -0.06, 0.55
0.1667, -0.78, 0.09, 0.64, 1.65, 0.18, 0.55
0.1700, -0.78, 0.07, 0.61, 1.16, 0.24, 0.49
0.1733, -0.79, 0.07, 0.63, 0.91, 0.43, 0.43
0.1767, -0.79, 0.08, 0.63, 0.55, 0.55, 0.30
0.1800, -0.78, 0.07, 0.64, 0.06, 0.67, 0.18
0.1833, -0.78, 0.07, 0.64, -0.18, 0.85, 0.06
0.1867, -0.78, 0.07, 0.63, -0.37, 0.67, -0.06
0.1900, -0.79, 0.06, 0.64, -0.67, 0.67, -0.18
0.1933, -0.78, 0.07, 0.66, -0.61, 0.73, -0.49
0.1967, -0.78, 0.07, 0.65, -0.67, 0.79, -0.73
0.2000, -0.78, 0.06, 0.65, -0.49, 0.67, -1.04
0.2033, -0.79, 0.07, 0.65, -0.24, 0.67, -1.10
0.2067, -0.79, 0.06, 0.66, 0.12, 0.61, -1.16
0.2100, -0.79, 0.06, 0.67, 0.55, 0.30, -1.22
0.2133, -0.80, 0.06, 0.66, 0.91, 0.18, -1.34
0.2167, -0.79, 0.06, 0.67, 1.34, -0.06, -1.28
0.2200, -0.79, 0.06, 0.66, 1.89, -0.18, -1.22
0.2233, -0.79, 0.06, 0.67, 2.20, -0.43, -1.22
0.2267, -0.79, 0.06, 0.66, 2.68, -0.67, -1.10
0.2300, -0.78, 0.05, 0.64, 3.11, -1.10, -0.98
0.2333, -0.79, 0.05, 0.65, 3.41, -1.40, -0.85
0.2367, -0.78, 0.05, 0.64, 3.78, -1.89, -0.73
0.2400, -0.78, 0.06, 0.65, 3.90, -2.20, -0.67
0.2433, -0.78, 0.06, 0.64, 3.90, -2.44, -0.55
0.2467, -0.77, 0.06, 0.64, 4.02, -2.56, -0.43
0.2500, -0.78, 0.07, 0.65, 3.84, -2.50, -0.24
0.2533, -0.78, 0.07, 0.64, 3.78, -2.50, -0.12
0.2567, -0.78, 0.06, 0.64, 3.48, -2.07, 0.18
0.2600, -0.78, 0.06, 0.64, 3.54, -1.89, 0.43
0.2633, -0.77, 0.07, 0.63, 3.23, -1.40, 0.49
0.2667, -0.78, 0.07, 0.63, 2.87, -1.22, 0.43
0.2700, -0.77, 0.07, 0.62, 2.44, -0.91, 0.49
0.2733, -0.76, 0.08, 0.62, 2.07, -0.49, 0.67
0.2767, -0.77, 0.09, 0.64, 1.77, -0.18, 0.67
0.2800, -0.77, 0.08, 0.64, 1.40, 0.12, 0.55
0.2833, -0.78, 0.08, 0.63, 1.04, 0.30, 0.37
0.2867, -0.78, 0.07, 0.64, 0.79, 0.55, 0.30
0.2900, -0.79, 0.06, 0.64, 0.73, 0.61, 0.37
0.2933, -0.79, 0.07, 0.65, 0.61, 0.61, 0.37
0.2967, -0.79, 0.07, 0.65, 0.85, 0.43, 0.49
0.3000, -0.79, 0.06, 0.65, 0.98, 0.37, 0.43
0.3033, -0.79, 0.06, 0.64, 1.40, 0.30, 0.61
0.3067, -0.78, 0.07, 0.65, 1.65, 0.06, 0.73
0.3100, -0.78, 0.06, 0.65, 1.59, 0.06, 0.73
0.3133, -0.78, 0.07, 0.65, 1.77, -0.06, 0.67
0.3167, -0.78, 0.07, 0.65, 1.89, -0.37, 0.49
0.3200, -0.78, 0.07, 0.63, 1.83, -0.49, 0.24
0.3233, -0.77, 0.06, 0.64, 1.95, -0.49, -0.06
0.3267, -0.78, 0.08, 0.65, 2.07, -0.37, -0.18
0.3300, -0.78, 0.07, 0.63, 2.01, -0.30, -0.43
0.3333, -0.78, 0.06, 0.64, 2.01, 0.06, -0.55
0.3367, -0.78, 0.07, 0.64, 2.13, 0.37, -0.79
0.3400, -0.79, 0.07, 0.63, 2.13, 0.37, -0.91
0.3433, -0.79, 0.07, 0.65, 2.13, 0.24, -1.04
0.3467, -0.79, 0.07, 0.61, 2.20, 0.12, -1.22
0.3500, -0.79, 0.06, 0.62, 2.01, -0.06, -1.52
0.3533, -0.79, 0.07, 0.63, 2.01, -0.30, -1.65
0.3567, -0.78, 0.07, 0.63, 1.89, -0.55, -1.65
0.3600, -0.79, 0.07, 0.63, 1.95, -0.91, -1.65
0.3633, -0.78, 0.07, 0.63, 1.89, -1.16, -1.65
0.3667, -0.78, 0.07, 0.64, 1.89, -1.16, -1.59
0.3700, -0.78, 0.08, 0.63, 1.71, -1.34, -1.52
0.3733, -0.79, 0.07, 0.64, 1.77, -1.46, -1.34
0.3767, -0.78, 0.08, 0.64, 1.71, -1.52, -1.16
0.3800, -0.78, 0.07, 0.64, 1.59, -1.40, -0.91
0.3833, -0.79, 0.06, 0.62, 1.22, -1.34, -0.61
0.3867, -0.78, 0.07, 0.66, 0.91, -1.16, -0.37
0.3900, -0.79, 0.06, 0.64, 0.55, -1.04, -0.12
0.3933, -0.78, 0.06, 0.63, 0.24, -0.98, 0.12
0.3967, -0.79, 0.05, 0.65, -0.06, -0.79, 0.24
0.4000, -0.78, 0.06, 0.63, -0.24, -0.79, 0.37
0.4033, -0.79, 0.07, 0.65, -0.49, -0.61, 0.49
0.4067, -0.78, 0.07, 0.65, -0.61, -0.61, 0.61
0.4100, -0.78, 0.07, 0.63, -0.67, -0.43, 0.73
0.4133, -0.78, 0.06, 0.65, -0.73, -0.24, 1.04
0.4167, -0.78, 0.07, 0.67, -0.67, -0.24, 0.98
0.4200, -0.77, 0.06, 0.65, -0.73, -0.06, 1.10
0.4233, -0.78, 0.07, 0.65, -0.67, 0.12, 1.16
0.4267, -0.79, 0.07, 0.64, -0.67, 0.30, 1.04
0.4300, -0.78, 0.06, 0.63, -0.73, 0.37, 1.04
0.4333, -0.78, 0.07, 0.63, -0.79, 0.37, 0.85
0.4367, -0.77, 0.06, 0.63, -0.61, 0.30, 0.73
0.4400, -0.78, 0.05, 0.65, -0.43, 0.18, 0.73
0.4433, -0.78, 0.06, 0.64, -0.49, -0.06, 0.73
0.4467, -0.79, 0.06, 0.65, -0.37, -0.24, 0.55
0.4500, -0.79, 0.07, 0.65, -0.12, -0.37, 0.49
0.4533, -0.78, 0.07, 0.66, -0.37, 0.30, -785.37
0.4567, -0.79, 0.07, 0.64, 0.30, 1.04, -0.43
0.4600, -0.79, 0.07, 0.65, 0.00, 0.98, -0.61
0.4633, -0.78, 0.07, 0.65, -0.24, 0.85, -0.61
0.4667, -0.78, 0.07, 0.64, -0.43, 0.91, -0.61
0.4700, -0.78, 0.07, 0.66, -0.61, 1.10, -0.49
0.4733, -0.79, 0.07, 0.65, -0.61, 1.16, -0.43
0.4767, -0.79, 0.07, 0.66, -0.43, 1.40, -0.18
0.4800, -0.78, 0.07, 0.67, -0.18, 1.52, -0.24
0.4833, -0.79, 0.07, 0.66, 0.00, 1.65, -0.30
0.4867, -0.78, 0.07, 0.66, 0.30, 1.59, -0.30
0.4900, -0.78, 0.06, 0.66, 0.73, 1.52, -0.37
0.4933, -0.78, 0.07, 0.64, 1.04, 1.28, -0.30
0.4967, -0.78, 0.06, 0.64, 1.22, 0.98, -0.30
0.5000, -0.78, 0.07, 0.63, 1.65, 0.79, -0.24
0.5033, -0.78, 0.07, 0.63, 1.89, 0.55, -0.18
0.5067, -0.79, 0.07, 0.62, 2.01, 0.30, -0.18
0.5100, -0.79, 0.06, 0.63, 2.32, 0.12, -0.30
0.5133, -0.79, 0.06, 0.62, 2.50, -0.37, -0.43
0.5167, -0.78, 0.06, 0.61, 2.62, -0.79, -0.37
0.5200, -0.78, 0.06, 0.63, 2.56, -1.16, -0.30
0.5233, -0.78, 0.06, 0.63, 2.56, -1.28, -0.55
0.5267, -0.77, 0.07, 0.63, 2.68, -1.34, -0.49
0.5300, -0.79, 0.06, 0.62, 2.56, -1.34, -0.43
0.5333, -0.78, 0.06, 0.63, 2.56, -1.16, -0.43
0.5367, -0.78, 0.05, 0.62, 2.44, -1.04, -0.24
0.5400, -0.79, 0.06, 0.63, 2.32, -0.91, -0.18
0.5433, -0.79, 0.06, 0.64, 2.38, -0.79, -0.18
0.5467, -0.78, 0.06, 0.64, 2.26, -0.85, -0.37
0.5500, -0.77, 0.07, 0.64, 2.32, -1.04, -0.43
0.5533, -0.77, 0.07, 0.63, 2.20, -0.91, -0.49
0.5567, -0.77, 0.06, 0.66, 2.13, -0.91, -0.61
0.5600, -0.78, 0.08, 0.64, 2.01, -0.91, -0.43
0.5633, -0.78, 0.07, 0.64, 1.83, -0.73, -0.30
0.5667, -0.79, 0.07, 0.64, 1.77, -0.61, -0.24
0.5700, -0.78, 0.07, 0.64, 1.71, -0.43, -0.06
0.5733, -0.78, 0.07, 0.64, 1.65, -0.30, 0.06
0.5767, -0.79, 0.07, 0.63, 1.52, -0.37, 0.24
0.5800, -0.78, 0.08, 0.64, 1.40, -0.30, 0.37
0.5833, -0.78, 0.06, 0.63, 1.34, -0.24, 0.37
0.5867, -0.78, 0.07, 0.65, 1.16, -0.18, 0.43
0.5900, -0.77, 0.07, 0.67, 1.10, -0.18, 0.43
0.5933, -0.78, 0.07, 0.65, 1.04, -0.30, 0.43
0.5967, -0.78, 0.07, 0.65, 1.04, -0.18, 0.37
0.6000, -0.79, 0.07, 0.65, -0.37, 0.30, 0.06
0.6033, -0.79, 0.06, 0.65, -0.06, -0.12, 0.00
0.6067, -0.79, 0.07, 0.66, 0.18, -0.55, 0.06
0.6100, -0.78, 0.08, 0.64, 0.49, -1.04, -0.12
0.6133, -0.78, 0.07, 0.64, 0.91, -1.40, -0.18
0.6167, -0.78, 0.07, 0.64, 1.40, -1.77, -0.18
0.6200, -0.79, 0.07, 0.62, 1.65, -2.13, -0.24
0.6233, -0.79, 0.08, 0.63, 1.83, -2.56, -0.30
0.6267, -0.78, 0.08, 0.65, 2.20, -2.62, -0.24
0.6300, -0.78, 0.08, 0.63, 2.44, -2.74, -0.24
